## Site Characteristics
Country     = 'USA'
Station     = 'NASA'
Description = 'NASA'
Source      = 'NASA'
Contact     = 'Peter Uithol'
Longitude = 39.5; Latitude = 46.5; Elevation = 38.41; AngstromA = 0.17896683557313284; AngstromB = 0.5513939168257551; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
19840101,5400.0,-1.4,3.11,0.5954157923496313,4.98,0.074,NaN
19840102,2930.0,1.05,6.02,0.7302522156635223,7.12,0.327,NaN
19840103,6390.0,0.59,6.51,0.6624181450203485,5.21,0.054000000000000006,NaN
19840104,6430.0,0.01,12.53,0.8429203453568486,4.42,0.006,NaN
19840105,5700.0,4.04,11.34,0.8907478686833613,2.5,0.01,NaN
19840106,2540.0,3.7,7.62,0.8888888461709273,1.79,0.043,NaN
19840107,6670.0,1.04,9.5,0.7850810926649487,1.96,0.098,NaN
19840108,2130.0,2.98,6.2,0.8018837792179184,2.44,0.252,NaN
19840109,2790.0,1.83,7.2,0.7996252442917136,2.7,0.16,NaN
19840110,3860.0,1.75,7.7,0.8423297447786482,2.91,0.02,NaN
19840111,2260.0,-0.49,7.53,0.8058497619388391,3.47,0.943,NaN
19840112,4230.0,-7.42,-0.18,0.39264503007229046,3.92,0.051000000000000004,NaN
19840113,6250.0,-8.24,-1.36,0.3417357584397143,5.27,0.056999999999999995,NaN
19840114,4160.0,-4.63,1.85,0.4653227358640394,3.76,0.137,NaN
19840115,4360.0,-2.11,1.4,0.5698387654507274,1.02,0.10600000000000001,NaN
19840116,4840.0,-2.25,3.06,0.5631845508343818,2.6,0.005,NaN
19840117,4610.0,-0.92,4.0,0.6010894503236256,2.9,0.06,NaN
19840118,6510.0,-1.19,4.21,0.5928131928784124,1.47,0.019,NaN
19840119,5620.0,-0.98,3.0,0.5778309107030812,1.06,0.007000000000000001,NaN
19840120,7660.0,-3.35,3.95,0.5388393521925257,2.01,0.034,NaN
19840121,3930.0,-3.25,3.78,0.5500820268848159,5.14,0.004,NaN
19840122,4340.0,-1.62,3.48,0.6006513240080532,2.92,0.093,NaN
19840123,6320.0,-1.63,6.64,0.6179490801535404,3.83,0.003,NaN
19840124,5780.0,-0.56,6.68,0.5919478982780612,5.85,0.001,NaN
19840125,4070.0000000000005,-2.66,4.7,0.5074523663223505,8.43,0.0,NaN
19840126,3290.0,-3.3,3.69,0.42245764411058956,9.23,0.001,NaN
19840127,3640.0,-3.63,0.41,0.34789589840351215,9.73,0.0,NaN
19840128,5500.0,-4.94,-0.47,0.30749203816929616,8.48,0.001,NaN
19840129,8010.0,-5.95,0.71,0.3228204947700957,7.45,0.0,NaN
19840130,7340.0,-7.78,0.55,0.3613494736787266,6.55,0.0,NaN
19840131,7080.0,-5.85,-0.52,0.3738216633959939,5.77,0.002,NaN
19840201,7760.0,-8.93,0.43,0.3527854407407127,5.31,0.001,NaN
19840202,7540.0,-6.16,2.69,0.3878620315203373,5.52,0.0,NaN
19840203,9020.0,-7.76,0.05,0.3273960111743623,7.11,0.001,NaN
19840204,9150.0,-9.56,-2.89,0.270232888293374,7.93,0.002,NaN
19840205,9360.0,-12.2,-4.42,0.21870628364388253,8.48,0.0,NaN
19840206,8010.0,-11.71,-2.78,0.24188639629812406,8.73,0.0,NaN
19840207,9810.0,-8.85,0.1,0.29889159080469674,9.34,0.001,NaN
19840208,7070.0,-6.99,-2.6,0.3173053962488821,8.59,0.037,NaN
19840209,4550.0,-6.91,-0.28,0.3168081991208787,8.03,0.033,NaN
19840210,10280.0,-6.57,2.39,0.3533324712465808,8.53,0.018,NaN
19840211,2740.0,-3.92,1.61,0.42021788981920327,9.56,0.087,NaN
19840212,6010.0,-5.21,-1.74,0.40022325137670567,8.63,0.844,NaN
19840213,11640.0,-8.32,-5.42,0.29677517308129886,7.77,0.034,NaN
19840214,10700.0,-9.9,-3.89,0.28548443167728765,8.84,0.007000000000000001,NaN
19840215,6480.0,-7.45,-3.55,0.3200523923328714,8.08,0.15,NaN
19840216,9850.0,-8.26,0.1,0.29583882632189445,5.91,0.0,NaN
19840217,11250.0,-11.88,0.19,0.3263742814926265,4.23,0.001,NaN
19840218,10510.0,-8.75,2.14,0.3902470302415128,5.23,0.0,NaN
19840219,10620.0,-5.66,1.57,0.43480199737107156,7.55,0.002,NaN
19840220,6780.0,-4.78,2.21,0.43678005751633353,8.52,0.001,NaN
19840221,11730.0,-5.89,3.99,0.40022325137670567,7.02,0.0,NaN
19840222,10980.0,-7.72,1.4,0.36218796332060227,6.37,0.0,NaN
19840223,10900.0,-6.56,4.15,0.41261844835587064,5.05,0.001,NaN
19840224,7610.0,-3.37,1.01,0.4947674969282179,3.83,0.20099999999999998,NaN
19840225,12320.0,-5.82,3.12,0.42309951489763586,4.98,0.013000000000000001,NaN
19840226,13580.0,-9.97,0.48,0.2827782566751738,5.27,0.0,NaN
19840227,14060.0,-10.93,0.65,0.3053215621034181,5.4,0.0,NaN
19840228,14210.0,-9.93,1.99,0.3281641718567402,5.16,0.0,NaN
19840229,3080.0,-7.44,3.08,0.41230446699706674,4.83,0.074,NaN
19840301,6080.0,-3.19,5.41,0.4929259577396149,2.28,0.09,NaN
19840302,12860.0,-2.97,7.67,0.45700374652290615,4.85,0.0,NaN
19840303,10770.0,-3.02,7.32,0.3706683267074086,8.91,0.011,NaN
19840304,5050.0,0.17,10.11,0.571513147748226,8.3,0.29300000000000004,NaN
19840305,10090.0,0.27,12.62,0.6590826002796697,6.65,0.0,NaN
19840306,9430.0,-1.2,10.32,0.5517049514538827,7.34,0.0,NaN
19840307,5080.0,-2.58,6.28,0.563598416057571,6.75,0.10400000000000001,NaN
19840308,8180.0,-2.29,6.28,0.5710941446606814,4.05,0.008,NaN
19840309,5830.0,-1.64,7.98,0.49550581686816403,5.77,0.023,NaN
